,college,draft_rank,draft_year,height_in,name,reach_in,weight_lb,wingspan_in
573,San Diego State University,15,2011,78.0,Kawhi Leonard,106.0,227,87.0
574,University of Southern California,16,2011,82.25,Nikola Vucevic,112.5,260,88.5
575,Georgia Institute of Technology,17,2011,,Iman Shumpert,,210,79.5
576,Florida State University,18,2011,80.0,Chris Singleton,107.5,239,85.0
577,University of Tennessee,19,2011,78.5,Tobias Harris,103.5,223,83.0
578,Duke University,21,2011,,Nolan Smith,,189,78.0
579,Morehead State University,22,2011,78.0,Kenneth Faried,108.0,225,84.0
580,Boston College,24,2011,,Reggie Jackson,,,
581,Providence College,25,2011,,MarShon Brooks,,,
582,University of Texas at Austin,26,2011,78.75,Jordan Hamilton,104.0,228,81.5
583,Purdue University,27,2011,,JaJuan Johnson,,176,81.0
584,Cleveland State University,28,2011,,Norris Cole,,175,77.5
585,University of Texas at Austin,29,2011,74.0,Cory Joseph,99.0,186,77.5
586,Marquette University,30,2011,78.0,Jimmy Butler,101.5,222,79.5
587,University of Richmond,32,2011,80.0,Justin Harper,106.0,228,83.75
588,Duke University,33,2011,79.5,Kyle Singler,106.0,228,82.1
589,Butler University,34,2011,,Shelvin Mack,,211,79.0
590,"University of California, Los Angeles",35,2011,78.75,Tyler Honeycutt,105.0,187,81.0
591,University of Maryland,36,2011,79.75,Jordan Williams,106.5,247,84.25
592,University of Georgia,37,2011,80.5,Trey Thompkins,107.5,239,85.0
593,University of Florida,38,2011,80.75,Chandler Parsons,104.5,221,81.5
594,University of Wisconsin,40,2011,82.0,Jon Leuer,105.5,223,84.0
595,University of Michigan,41,2011,75.25,Darius Morris,102.0,190,79.5
596,"University of California, Los Angeles",43,2011,76.0,Malcolm Lee,101.5,198,81.75
597,Hofstra University,44,2011,73.5,Charles Jenkins,96.5,216,79.5
598,University of Kentucky,45,2011,80.5,Josh Harrellson,104.5,279,83.25
599,College of Charleston,46,2011,73.0,Andrew Goudelock,96.0,200,76.5
600,University of Georgia,47,2011,75.0,Travis Leslie,103.0,205,82.5
601,Oakland University,48,2011,82.0,Keith Benson,109.5,217,87.75
602,University of Kansas,49,2011,73.75,Josh Selby,98.0,195,77.25
603,Temple University,50,2011,,Lavoy Allen,,,
604,Ohio State University,51,2011,77.25,Jon Diebler,99.0,197,78.0
605,University of Florida,52,2011,80.5,Vernon Macklin,108.75,243,87.5
606,University of Kentucky,53,2011,77.0,DeAndre Liggins,104.0,213,83.5
607,Purdue University,55,2011,74.5,E'Twaun Moore,99.5,191,81.5
608,University of Washington,60,2011,,Isaiah Thomas,,189,73.5
609,University of Kentucky,1,2012,81.25,Anthony Davis,108.0,222,89.5
610,University of Kentucky,2,2012,77.75,Michael Kidd-Gilchrist,104.5,233,84.0
611,University of Florida,3,2012,75.25,Bradley Beal,100.0,202,80.0
612,Syracuse University,4,2012,74.5,Dion Waiters,98.0,221,79.25
613,University of Kansas,5,2012,79.75,Thomas Robinson,106.0,244,87.25
614,Weber State University,6,2012,73.75,Damian Lillard,95.5,189,79.75
615,University of North Carolina,7,2012,79.0,Harrison Barnes,101.5,228,83.25
616,University of Washington,8,2012,78.0,Terrence Ross,100.5,197,79.25
617,University of Connecticut,9,2012,81.75,Andre Drummond,109.5,279,90.25
618,Duke University,10,2012,75.5,Austin Rivers,96.5,203,79.25
619,University of Illinois at Urbana-Champaign,11,2012,83.75,Meyers Leonard,108.0,250,87.0
620,University of Connecticut,12,2012,76.0,Jeremy Lamb,102.0,179,83.0
621,University of North Carolina,13,2012,75.25,Kendall Marshall,96.0,198,77.5
622,University of North Carolina,14,2012,81.0,John Henson,112.0,216,89.0
623,St. John's University,15,2012,,Maurice Harkless,,,
624,Iowa State University,16,2012,79.0,Royce White,104.5,261,84.0
625,University of North Carolina,17,2012,83.25,Tyler Zeller,104.5,247,84.0
626,University of Kentucky,18,2012,80.25,Terrence Jones,107.0,252,86.25
627,St. Bonaventure University,19,2012,80.5,Andrew Nicholson,107.0,234,88.0
628,Ohio State University,21,2012,79.75,Jared Sullinger,105.5,268,85.25
629,Syracuse University,22,2012,82.75,Fab Melo,110.0,255,86.5
630,Vanderbilt University,23,2012,75.25,John Jenkins,98.0,212,80.5
631,Oregon State University,24,2012,75.5,Jared Cunningham,98.0,188,78.5
632,University of Washington,25,2012,76.75,Tony Wroten,101.0,203,81.0
633,Duke University,26,2012,82.5,Miles Plumlee,105.5,252,84.75
634,Mississippi State University,27,2012,81.5,Arnett Moultrie,106.5,233,86.25
635,Baylor University,28,2012,82.25,Perry Jones,107.0,234,85.75
636,University of Kentucky,29,2012,73.0,Marquis Teague,98.0,184,79.0
637,Vanderbilt University,30,2012,81.75,Festus Ezeli,108.0,264,89.75
638,Vanderbilt University,31,2012,78.0,Jeff Taylor,101.5,213,78.25
639,Florida State University,33,2012,80.75,Bernard James,108.5,230,87.0
640,Marquette University,34,2012,75.75,Jae Crowder,102.75,242,80.5
641,Michigan State University,35,2012,77.75,Draymond Green,105.0,236,85.25
642,"University of California, Santa Barbara",36,2012,75.0,Orlando Johnson,98.5,223,83.0
643,Baylor University,37,2012,78.5,Quincy Acy,106.5,224,86.75
644,Baylor University,38,2012,80.75,Quincy Miller,105.0,219,85.25
645,Texas A&M University,39,2012,78.75,Khris Middleton,103.0,216,82.75
646,University of Memphis,40,2012,77.0,Will Barton,102.5,174,81.75
647,University of Kansas,41,2012,74.75,Tyshawn Taylor,97.5,177,78.25
648,University of Kentucky,42,2012,75.25,Doron Lamb,98.5,199,78.75
649,University of Virginia,43,2012,79.25,Mike Scott,104.0,241,82.75
650,University of Missouri,44,2012,75.5,Kim English,99.25,198,78.75
651,Louisiana State University,45,2012,81.75,Justin Hamilton,109.25,264,85.5
652,University of Kentucky,46,2012,78.0,Darius Miller,101.0,233,81.0
653,Tennessee Technological University,47,2012,77.0,Kevin Murphy,99.0,194,78.75
654,Norfolk State University,49,2012,80.5,Kyle O'Quinn,106.5,241,88.75
655,Syracuse University,51,2012,78.0,Kris Joseph,104.0,215,83.0
656,Marquette University,55,2012,73.0,Darius Johnson-Odom,98.0,214,78.5
657,Purdue University,58,2012,79.25,Robbie Hummel,102.0,218,80.5
658,University of Missouri,59,2012,73.5,Marcus Denmon,97.25,189,76.75
659,Gonzaga University,60,2012,82.75,Robert Sacre,107.5,263,84.5
660,"University of Nevada, Las Vegas",1,2013,,Anthony Bennett,,239,85.0
661,Indiana University,2,2013,75.25,Victor Oladipo,100.5,213,81.25
662,Georgetown University,3,2013,79.5,Otto Porter,105.5,198,85.5
663,Indiana University,4,2013,82.75,Cody Zeller,106.0,230,82.75
664,University of Maryland,5,2013,,Alex Len,,"NA7' 3.5""NA6.4910.75NANANANANANANANA5",87.5
665,University of Kentucky,6,2013,82.0,Nerlens Noel,110.0,206,87.75
666,University of Kansas,7,2013,75.5,Ben McLemore,100.5,189,79.75
667,University of Georgia,8,2013,76.5,Kentavious Caldwell-Pope,100.5,204,80.0
668,University of Michigan,9,2013,71.75,Trey Burke,97.5,187,77.5
669,Lehigh University,10,2013,,C.J. McCollum,,192,78.0
670,Syracuse University,11,2013,76.75,Michael Carter-Williams,101.0,184,79.25
671,University of Pittsburgh,12,2013,82.75,Steven Adams,109.5,255,88.5
672,Gonzaga University,13,2013,82.75,Kelly Olynyk,108.0,234,81.75
673,"University of California, Los Angeles",14,2013,76.75,Shabazz Muhammad,104.5,222,83.0
674,University of Miami,18,2013,70.25,Shane Larkin,89.5,171,70.75
675,University of New Mexico,20,2013,78.0,Tony Snell,105.5,198,83.5
676,University of Louisville,21,2013,81.75,Gorgui Dieng,111.5,230,87.5
677,Duke University,22,2013,83.25,Mason Plumlee,108.0,238,83.0
678,University of Arizona,23,2013,77.5,Solomon Hill,103.0,226,81.0
679,University of Michigan,24,2013,76.5,Tim Hardaway,101.0,199,79.0
680,University of North Carolina,25,2013,77.75,Reggie Bullock,102.0,200,80.75
681,University of Colorado,26,2013,78.25,Andre Roberson,104.5,206,83.0
682,University of Kentucky,29,2013,75.75,Archie Goodwin,102.0,189,81.5
683,University of California,31,2013,77.25,Allen Crabbe,103.5,197,83.25
684,Arizona State University,33,2013,76.75,Carrick Felix,103.5,203,81.25
685,Murray State University,34,2013,71.0,Isaiah Canaan,94.5,188,76.5
686,Georgia Institute of Technology,35,2013,76.5,Glen Rice,101.5,211,81.25
687,University of Detroit Mercy,36,2013,72.25,Ray McCallum,96.5,191,75.25
688,University of North Texas,37,2013,79.5,Tony Mitchell,106.5,236,86.5
689,South Dakota State University,38,2013,75.5,Nate Wolters,98.0,196,75.75
690,University of Kansas,39,2013,82.75,Jeff Withey,110.5,222,86.0
691,University of Arizona,40,2013,80.75,Grant Jerrett,109.0,232,86.0
692,San Diego State University,41,2013,76.0,Jamaal Franklin,103.5,191,83.25
693,Baylor University,42,2013,0.0,Pierre Jackson,0.0,175,0.0
694,Providence College,43,2013,76.75,Ricky Ledo,102.5,197,79.25
695,Bucknell University,44,2013,82.25,Mike Muscala,108.0,230,85.0
696,Virginia Polytechnic Institute and State University,46,2013,73.5,Erick Green,98.0,178,77.75
697,Duke University,48,2013,81.75,Ryan Kelly,110.0,228,83.5
698,University of Florida,49,2013,80.75,Erik Murphy,108.0,240,82.5
699,"California State University, Long Beach",50,2013,77.75,James Ennis,104.5,201,83.5
700,North Carolina State University,52,2013,76.0,Lorenzo Brown,100.0,189,79.0
701,Colorado State University,53,2013,82.5,Colton Iverson,110.0,263,86.0
702,University of Oregon,54,2013,78.5,Arsalan Kazemi,103.5,228,84.0
703,University of Louisville,56,2013,71.5,Peyton Siva,93.0,181,75.0
704,University of Missouri,57,2013,80.0,Alex Oriakhi,108.0,258,87.75
705,Ohio State University,58,2013,77.0,Deshaun Thomas,104.0,220,82.0
706,University of Kansas,1,2014,,Andrew Wiggins,,197,84.0
707,Duke University,2,2014,,Jabari Parker,,240,83.5
708,University of Kansas,3,2014,,Joel Embiid,,240,89.0
709,University of Arizona,4,2014,79.5,Aaron Gordon,105.0,220,83.75
710,Oklahoma State University,6,2014,74.0,Marcus Smart,99.0,227,81.25
711,University of Kentucky,7,2014,79.75,Julius Randle,105.5,250,84.0
712,University of Michigan,8,2014,77.25,Nik Stauskas,102.0,207,79.75
713,Indiana University,9,2014,80.0,Noah Vonleh,108.0,247,88.25
714,University of Louisiana at Lafayette,10,2014,74.5,Elfrid Payton,98.5,185,80.0
715,Creighton University,11,2014,78.25,Doug McDermott,103.0,218,81.25
716,"University of California, Los Angeles",13,2014,76.5,Zach LaVine,100.0,181,80.25
717,North Carolina State University,14,2014,79.0,T.J. Warren,104.0,220,82.25
718,Michigan State University,15,2014,81.0,Adreian Payne,109.0,239,88.0
719,University of Kentucky,17,2014,77.25,James Young,104.0,213,84.0
720,Syracuse University,18,2014,73.0,Tyler Ennis,98.0,182,79.25
721,Michigan State University,19,2014,74.5,Gary Harris,96.0,205,78.75
722,University of Michigan,21,2014,,Mitch McGary,,266,83.5
723,"University of California, Los Angeles",22,2014,75.5,Jordan Adams,102.0,209,82.0
724,Duke University,23,2014,79.25,Rodney Hood,103.0,208,80.5
725,University of Connecticut,24,2014,71.0,Shabazz Napier,93.0,175,75.25
726,University of North Carolina,26,2014,76.25,P.J. Hairston,101.0,229,81.0
727,University of Washington,28,2014,75.5,C.J. Wilcox,100.5,201,81.75
728,Stanford University,29,2014,,Josh Huestis,,NANANANANANA31.5NA38.5NA1911.373.19NA29,
729,"University of California, Los Angeles",30,2014,79.5,Kyle Anderson,107.5,230,86.75
730,Clemson University,32,2014,76.5,K.J. McDaniels,102.0,196,83.25
731,University of Virginia,33,2014,76.75,Joe Harris,100.0,215,78.0
732,Wichita State University,34,2014,78.0,Cleanthony Early,101.5,209,82.75
733,University of Tennessee,35,2014,79.0,Jarnell Stokes,103.5,263,85.25
734,Louisiana State University,36,2014,,Johnny O'Bryant III,,,
735,University of Connecticut,37,2014,79.25,DeAndre Daniels,106.5,196,86.0
736,University of Colorado,38,2014,76.5,Spencer Dinwiddie,103.0,205,80.25
737,Syracuse University,39,2014,78.5,Jerami Grant,107.0,214,86.75
738,University of Michigan,40,2014,,Glenn Robinson III,,,
739,University of Arizona,42,2014,73.5,Nick Johnson,96.5,198,79.25
740,Oklahoma State University,44,2014,74.5,Markel Brown,100.0,184,80.75
741,Stanford University,45,2014,81.5,Dwight Powell,105.0,234,84.5
742,University of Missouri,46,2014,75.25,Jordan Clarkson,98.0,186,80.0
743,University of Louisville,47,2014,,Russ Smith,,NANANANANANA31.5NA37.0NANANANANA47,
744,University of Pittsburgh,48,2014,76.0,Lamar Patterson,101.0,226,83.0
745,University of New Mexico,49,2014,80.75,Cameron Bairstow,107.0,252,84.75
746,University of Wisconsin-Green Bay,50,2014,84.25,Alec Brown,109.0,231,85.5
747,Xavier University,55,2014,73.5,Semaj Christon,99.0,186,78.5
748,University of Iowa,56,2014,,Roy Devyn Marble,,,
749,University of Tennessee,58,2014,75.75,Jordan McRae,104.0,179,84.5
750,San Diego State University,59,2014,74.25,Xavier Thames,96.0,187,76.0
751,Baylor University,60,2014,79.75,Cory Jefferson,105.0,218,84.5
752,University of Kentucky,1,2015,82.25,Karl-Anthony Towns,109.0,250,87.25
753,Ohio State University,2,2015,75.25,D'Angelo Russell,102.0,193,81.75
754,Duke University,3,2015,,Jahlil Okafor,110.5,272,89.0
755,University of Kentucky,6,2015,83.25,Willie Cauley-Stein,111.0,242,87.0
756,University of Arizona,8,2015,77.0,Stanley Johnson,102.0,242,83.5
757,University of Wisconsin,9,2015,83.75,Frank Kaminsky,109.5,231,83.0
758,Duke University,10,2015,76.5,Justise Winslow,104.5,222,82.25
759,University of Texas at Austin,11,2015,81.75,Myles Turner,112.0,239,88.0
760,University of Kentucky,12,2015,81.0,Trey Lyles,108.0,241,85.5
761,University of Kentucky,13,2015,76.5,Devin Booker,102.5,206,80.25
762,Murray State University,14,2015,72.75,Cameron Payne,97.5,183,79.25
763,University of Kansas,15,2015,77.75,Kelly Oubre,102.5,203,86.25
764,University of Louisville,16,2015,72.75,Terry Rozier,98.5,190,80.25
765,"University of Nevada, Las Vegas",17,2015,75.75,Rashad Vaughn,101.0,199,79.0
766,University of Wisconsin,18,2015,79.75,Sam Dekker,106.0,219,83.5
767,University of Notre Dame,19,2015,75.25,Jerian Grant,100.0,198,79.5
768,University of Utah,20,2015,76.25,Delon Wright,101.5,181,79.5
769,University of Virginia,21,2015,77.25,Justin Anderson,101.0,231,83.75
770,University of Arkansas,22,2015,81.5,Bobby Portis,108.5,246,86.0
771,University of Arizona,23,2015,77.5,Rondae Hollis-Jefferson,104.0,211,86.0
772,Duke University,24,2015,72.25,Tyus Jones,97.0,185,77.0
773,Louisiana State University,25,2015,80.0,Jarell Martin,106.5,239,81.75
774,University of Wyoming,27,2015,,Larry Nance Jr.,,,
775,Georgia State University,28,2015,76.5,R.J. Hunter,104.0,185,82.5
776,Syracuse University,29,2015,80.25,Chris McCullough,109.0,199,87.25
777,"University of California, Los Angeles",30,2015,80.0,Kevon Looney,110.0,222,87.5
778,University of Louisville,32,2015,79.0,Montrezl Harrell,109.0,253,88.25
779,Louisiana State University,33,2015,79.0,Jordan Mickey,106.0,238,87.25
780,Stanford University,34,2015,77.25,Anthony Brown,104.5,211,83.25
781,Syracuse University,36,2015,80.25,Rakeem Christmas,110.5,243,89.25
782,Bowling Green State University,37,2015,80.25,Richaun Holmes,108.0,243,85.5
783,Villanova University,38,2015,77.5,Darrun Hilliard,103.5,220,81.0
784,University of Tennessee,40,2015,,Josh Richardson,,,
785,University of Notre Dame,41,2015,75.75,Pat Connaughton,99.5,206,81.0
786,Boston College,42,2015,75.25,Olivier Hanlan,100.0,186,78.5
787,University of Oregon,43,2015,72.75,Joseph Young,94.5,182,77.0
788,University of Kentucky,44,2015,76.5,Andrew Harrison,100.0,213,81.0
789,College of William & Mary,45,2015,,Marcus Thornton,,,
790,"University of California, Los Angeles",46,2015,75.0,Norman Powell,102.5,215,82.75
791,University of Kentucky,48,2015,83.0,Dakari Johnson,112.0,265,86.0
792,University of Iowa,49,2015,79.75,Aaron White,106.5,220,83.5
793,Eastern Washington University,51,2015,74.75,Tyler Harvey,98.5,181,77.5
794,St. John's University,53,2015,,Sir'Dominic Pointer,,,
795,University of Massachusetts Amherst,55,2015,80.25,Cady Lalanne,110.5,241,89.0
796,Michigan State University,56,2015,77.5,Branden Dawson,105.0,230,83.0
797,University of North Carolina,58,2015,77.25,J.P. Tokoto,100.5,196,82.0
798,Louisiana State University,1,2016,,Ben Simmons,,229,83.0
799,Duke University,2,2016,80.0,Brandon Ingram,109.5,196,87.0
800,University of California,3,2016,77.25,Jaylen Brown,102.5,223,83.75
801,Providence College,5,2016,75.0,Kris Dunn,100.0,Â ,81.5
802,University of Oklahoma,6,2016,75.75,Buddy Hield,101.0,212,81.25
803,University of Kentucky,7,2016,,Jamal Murray,98.5,204,79.0
804,University of Washington,8,2016,,Marquesse Chriss,,,
805,University of Utah,9,2016,84.25,Jakob Poeltl,111.5,239,86.75
806,Gonzaga University,11,2016,,Domantas Sabonis,,238,82.5
807,Baylor University,12,2016,78.5,Taurean Prince,102.0,220,83.5
808,Michigan State University,14,2016,76.0,Denzel Valentine,102.0,210,82.75
809,Vanderbilt University,17,2016,74.5,Wade Baldwin,100.0,202,83.25
810,Marquette University,18,2016,82.0,Henry Ellenson,108.0,242,86.25
811,Florida State University,19,2016,75.5,Malik Beasley,100.5,190,79.0
812,University of Michigan,20,2016,77.75,Caris LeVert,101.0,191,82.0
813,Saint Joseph's University,21,2016,76.25,DeAndre Bembry,101.0,207,81.25
814,Syracuse University,22,2016,76.75,Malachi Richardson,101.5,200,84.0
815,University of North Carolina,25,2016,81.0,Brice Johnson,106.5,209,84.5
816,New Mexico State University,27,2016,80.25,Pascal Siakam,107.5,227,87.25
817,University of Kentucky,28,2016,82.5,Skal Labissiere,105.5,216,86.5
818,University of Washington,29,2016,,Dejounte Murray,,162,81.5
819,Vanderbilt University,30,2016,82.25,Damian Jones,107.0,244,87.75
820,Michigan State University,31,2016,81.25,Deyonta Davis,108.5,237,86.5
821,University of Kansas,33,2016,79.5,Cheick Diallo,107.5,219,88.5
822,University of Kentucky,34,2016,68.75,Tyler Ulis,88.5,149,74.0
823,University of Virginia,36,2016,75.75,Malcolm Brogdon,98.0,223,82.5
824,University of Louisville,37,2016,81.0,Chinanu Onuaku,108.5,245,86.75
825,"University of Nevada, Las Vegas",38,2016,77.25,Patrick McCaw,100.5,181,82.0
826,University of Maryland,40,2016,81.0,Diamond Stone,108.5,254,86.75
827,"University of Nevada, Las Vegas",41,2016,82.25,Stephen Zimmerman,108.5,234,87.25
828,Seton Hall University,42,2016,75.25,Isaiah Whitehead,100.0,210,80.75
829,University of Notre Dame,45,2016,72.0,Demetrius Jackson,93.0,194,77.5
830,Purdue University,46,2016,,A.J. Hammons,,278,87.0
831,University of Maryland,47,2016,80.0,Jake Layman,102.0,209,81.25
832,Syracuse University,49,2016,77.5,Michael Gbinije,101.0,205,79.5
833,Iowa State University,50,2016,78.75,Georges Niang,103.0,231,82.0
834,Providence College,51,2016,79.25,Ben Bentil,105.0,229,85.5
835,Weber State University,52,2016,79.5,Joel Bolomboy,103.5,224,85.75
836,Oakland University,54,2016,68.25,Kay Felder,88.5,177,74.5
837,University of North Carolina,55,2016,72.5,Marcus Paige,97.0,164,78.25
838,University of Connecticut,56,2016,78.25,Daniel Hamilton,103.5,197,81.0
839,Iowa State University,58,2016,77.0,Abdel Nader,103.5,221,85.0
840,University of Oklahoma,59,2016,75.25,Isaiah Cousins,98.5,194,78.25
841,University of California,60,2016,,Tyrone Wallace,,198,81.5
